projectName,projectType,Hotfix,Release,DeployDCE,Source
scc-action-response-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
sftp-bi-export,STANDALONE_JOB,x,x,x,COIN
sftp-gateway-interface,STANDALONE_JOB,x,x,x,COIN
sftp-it-bi-export-api-partner,STANDALONE_JOB,x,x,x,COIN
sftp-zip-exporter,STANDALONE_JOB,x,x,x,COIN
shop-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
simulation-webservice,WEBSERVICE,x,x,x,COIN
sk-generate-acknowledgement,STANDALONE_JOB,x,x,x,COIN
sk-guiding,STANDALONE_JOB,x,x,x,COIN
sk-nds-webservice,WEBSERVICE,x,x,x,COIN
sp-ticket-closer,STANDALONE_JOB,x,x,x,COIN
stu-error-reprocessing,STANDALONE_JOB,x,x,x,COIN
switzerland-exceptionlist-generator,STANDALONE_JOB,x,x,x,COIN
tccm-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
tis-pl-support,STANDALONE_JOB,x,x,x,COIN
tms-notification,WEBSERVICE,x,x,x,COIN
unified-api,WEBSERVICE,x,x,x,COIN
unified-api-v2,WEBSERVICE,x,x,x,COIN
unified-api-models,UNIFIED_API_MODELS,x,x,x,COIN
worldline-servlet,SERVLET,x,x,x,COIN
aax2-xxxreleasexxx-trunk.only-db,DB_ONLY_DCE,,,x,COIN
aax2-xxxreleasexxx-diffdeploy.only-db,DB_ONLY,,x,,COIN
aax2-xxxreleasexxx-hfxxxhotfixNumberxxx,DB_ONLY,x,,,COIN
